Assembly	K|Best match locus	K|Match confidence	K|Coverage	K|Identity	OC|Best match locus	OC|Match confidence	OC|Coverage	OC|Identity
GCF_014531555.1	KL14	Good	100.00%	100.00%	OCL6	Very high	100.00%	99.99%
GCF_014531345.1	KL14	Perfect	100.00%	100.00%	OCL6	Good	100.00%	99.99%
GCF_015666535.1	KL14	Very high	100.00%	100.00%	OCL6	Perfect	100.00%	100.00%
GCF_009829555.1	KL14	Perfect	100.00%	100.00%	OCL5	High	100.00%	90.66%
GCF_004209195.1	KL22	None	89.66%	99.99%	OCL6	Very high	100.00%	99.98%
GCF_011601545.1	KL12	Good	100.00%	95.25%	OCL5	Very high	100.00%	99.78%
GCF_011601815.1	KL12	Good	100.00%	95.25%	OCL5	Very high	100.00%	99.78%
GCF_011603295.1	KL12	Good	100.00%	95.25%	OCL5	Very high	100.00%	99.78%
GCF_011603585.1	KL12	Good	100.00%	95.25%	OCL5	Very high	100.00%	99.78%
GCF_011603385.1	KL12	Good	100.00%	95.25%	OCL5	Very high	100.00%	99.78%
GCF_011601725.1	KL12	Good	100.00%	95.25%	OCL5	Very high	100.00%	99.78%
GCF_005518095.1	KL12	High	100.00%	99.52%	OCL5	High	100.00%	99.77%
GCF_010179525.1	KL3	Very high	100.00%	97.98%	OCL5	Very high	100.00%	99.77%
GCF_012934905.1	KL3	Very high	100.00%	97.98%	OCL5	Very high	100.00%	99.77%
GCF_002082785.1	KL14	Perfect	100.00%	100.00%	OCL5	Very high	100.00%	99.78%
GCF_003955355.1	KL14	Perfect	100.00%	100.00%	OCL5	Very high	100.00%	99.76%
GCF_017600965.1	KL14	Perfect	100.00%	100.00%	OCL5	Very high	100.00%	99.78%
GCF_000493615.1	KL32	Very high	100.00%	97.67%	OCL5	Very high	100.00%	99.76%
GCF_900476665.2	KL14	Perfect	100.00%	100.00%	OCL6	Perfect	100.00%	100.00%
GCF_002927965.1	KL10	Good	96.91%	94.48%	OCL10	Very high	100.00%	99.91%
GCF_001612095.1	KL13	Very high	100.00%	95.30%	OCL5	Very high	100.00%	99.75%
GCF_001612105.1	KL13	Very high	100.00%	95.30%	OCL5	Very high	100.00%	99.75%
GCF_002143975.1	KL12	Very high	100.00%	95.32%	OCL5	Very high	100.00%	99.75%
GCF_001611995.1	KL12	Very high	100.00%	95.32%	OCL5	Very high	100.00%	99.75%
GCF_006492805.1	KL13	Very high	100.00%	95.30%	OCL5	Very high	100.00%	99.75%
GCF_000516575.2	KL12	Very high	100.00%	95.32%	OCL5	Very high	100.00%	99.73%
GCF_000516635.2	KL12	Very high	100.00%	95.32%	OCL5	Very high	100.00%	99.73%
GCF_000278665.1	KL23	Perfect	100.00%	100.00%	OCL5	Very high	100.00%	99.76%
GCF_001007815.1	KL27	Good	93.19%	98.79%	OCL5	Good	100.00%	99.74%
GCF_900476705.2	KL16	Perfect	100.00%	100.00%	OCL5	Very high	100.00%	99.76%
GCF_002138105.1	KL124	None	86.85%	91.22%	OCL5	Very high	100.00%	99.75%
GCF_003569445.1	KL14	Good	100.00%	100.00%	OCL7	Good	78.52%	92.65%
GCF_000301335.1	KL14	Perfect	100.00%	100.00%	OCL5	Good	100.00%	99.75%
GCF_006492425.1	KL125	Very high	100.00%	99.14%	OCL7	Very high	100.00%	98.77%
GCF_001007745.1	KL37	Very high	100.00%	98.50%	OCL7	Very high	100.00%	98.78%
GCF_006492635.1	KL37	Very high	100.00%	98.52%	OCL7	Very high	100.00%	98.78%
GCF_001007765.1	KL37	Good	100.00%	98.51%	OCL7	Good	100.00%	98.78%
GCF_003431385.1	KL7	Very high	100.00%	99.99%	OCL7	Very high	100.00%	98.78%
GCF_000368185.1	KL37	Very high	100.00%	97.15%	OCL6	Very high	100.00%	99.89%
GCF_001007705.1	KL14	Very high	100.00%	98.98%	OCL6	Very high	100.00%	99.89%
GCF_000581055.1	KL14	None	86.23%	100.00%	OCL5	None	77.04%	99.74%
GCF_001432545.1	KL14	Perfect	100.00%	100.00%	OCL5	Very high	100.00%	99.76%
GCF_006494225.1	KL32	Good	99.91%	97.85%	OCL7	Good	78.17%	92.65%
GCF_003583535.1	KL3	None	71.65%	99.23%	OCL5	None	73.36%	99.92%
GCF_003584275.1	KL22	Good	99.60%	99.92%	OCL5	Good	100.00%	99.82%
GCF_003584365.1	KL3	None	77.06%	99.17%	OCL5	None	77.00%	99.92%
GCF_003584325.1	KL22	None	78.48%	99.90%	OCL5	None	76.45%	99.92%
GCF_003584515.1	KL22	Good	100.00%	99.93%	OCL5	Good	99.09%	99.88%
GCF_003584305.1	KL3	None	62.86%	99.35%	OCL5	None	83.29%	99.03%
GCF_003595685.1	KL33	Low	92.51%	98.68%	OCL5	Low	94.99%	99.88%
GCF_003596205.1	KL33	Good	98.31%	98.77%	OCL5	None	72.72%	99.95%
GCF_003583625.1	KL22	None	88.68%	99.92%	OCL5	None	74.09%	99.92%
GCF_003595935.1	KL22	None	94.13%	99.92%	OCL5	Low	90.73%	99.73%
GCF_003584255.1	KL22	Good	100.00%	99.93%	OCL5	Good	96.05%	99.89%
GCF_003584385.1	KL33	Good	100.00%	98.80%	OCL5	None	74.95%	99.92%
GCF_003596135.1	KL33	None	78.57%	98.40%	OCL5	None	74.81%	99.90%
GCF_003584485.1	KL33	Very high	100.00%	98.80%	OCL5	Good	99.76%	99.87%
GCF_003583525.1	KL9	None	76.36%	98.62%	OCL5	None	68.13%	99.93%
GCF_003595885.1	KL9	None	82.73%	98.72%	OCL5	None	74.18%	99.92%
GCF_003597385.1	KL9	None	83.61%	98.70%	OCL5	Good	97.20%	99.88%
GCF_003596065.1	KL9	None	94.45%	98.71%	OCL5	Low	91.40%	99.86%
GCF_003596025.1	KL9	Good	99.33%	98.83%	OCL5	Low	90.87%	99.92%
GCF_003584375.1	KL49	None	87.32%	99.19%	OCL5	None	78.78%	99.88%
GCF_003595995.1	KL9	None	72.97%	98.52%	OCL5	None	76.04%	99.92%
GCF_003596105.1	KL9	None	80.25%	98.52%	OCL5	None	73.41%	99.92%
GCF_003595805.1	KL9	None	60.34%	98.21%	OCL5	None	74.27%	99.94%
GCF_003596015.1	KL9	None	74.42%	98.57%	OCL5	None	73.47%	99.92%
GCF_003595745.1	KL9	Good	100.00%	98.84%	OCL5	Good	99.75%	99.81%
GCF_006843645.1	KL9	Good	99.83%	98.53%	OCL5	High	100.00%	99.84%
GCF_003583605.1	KL22	None	80.84%	99.91%	OCL5	None	76.58%	99.92%
GCF_003584445.1	KL22	None	79.97%	99.90%	OCL5	None	75.65%	99.94%
GCF_003595665.1	KL33	Low	91.97%	98.68%	OCL5	None	84.56%	99.92%
GCF_003584315.1	KL22	Good	98.82%	99.93%	OCL5	Good	98.87%	99.85%
GCF_003595955.1	KL22	None	89.35%	99.92%	OCL5	None	76.99%	99.92%
GCF_003596235.1	KL33	Very high	100.00%	98.80%	OCL5	Good	100.00%	99.88%
GCF_003584425.1	KL22	Good	100.00%	99.93%	OCL5	Very high	100.00%	99.88%
GCF_003595675.1	KL33	None	86.92%	98.60%	OCL5	None	77.52%	99.92%
GCF_003595765.1	KL33	Good	100.00%	98.80%	OCL5	None	88.74%	99.92%
GCF_003595925.1	KL33	Low	94.38%	98.72%	OCL5	None	89.80%	99.92%
GCF_003583565.1	KL22	None	86.40%	99.91%	OCL5	None	73.59%	99.92%
GCF_003583575.1	KL3	None	51.62%	99.10%	OCL5	None	71.81%	99.92%
GCF_003584455.1	KL49	None	74.63%	99.03%	OCL5	None	84.59%	99.92%
GCF_003596175.1	KL49	None	86.44%	99.19%	OCL5	None	72.96%	99.92%
GCF_003584535.1	KL9	Good	98.60%	98.81%	OCL5	Good	97.19%	99.88%
GCF_003596275.1	KL9	None	97.14%	98.65%	OCL5	Good	100.00%	99.87%
GCF_003583615.1	KL9	None	78.98%	98.65%	OCL5	None	74.53%	99.92%
GCF_003596075.1	KL9	Very high	100.00%	98.83%	OCL5	Very high	100.00%	99.88%
GCF_003595755.1	KL9	None	93.76%	98.76%	OCL5	Low	91.41%	99.79%
GCF_003596265.1	KL9	None	77.32%	98.62%	OCL5	None	75.67%	99.91%
GCF_003584505.1	KL9	Very high	100.00%	98.83%	OCL5	Good	100.00%	99.80%
GCF_003595835.1	KL9	None	75.75%	98.59%	OCL5	Good	100.00%	99.87%
GCF_012524275.1	KL9	Good	99.83%	98.79%	OCL5	Very high	100.00%	99.88%
GCF_003595815.1	KL37	Low	93.45%	96.28%	OCL10	Good	100.00%	99.87%
GCF_003596125.1	KL37	None	75.83%	95.37%	OCL10	High	99.93%	99.84%
GCF_003595865.1	KL37	None	86.96%	95.93%	OCL10	Good	100.00%	99.87%
GCF_001007775.1	KL9	Very high	100.00%	96.84%	OCL10	High	100.00%	99.87%
GCF_015537085.1	KL14	Low	100.00%	96.36%	OCL10	Good	100.00%	99.98%
GCF_015538305.1	KL14	Low	100.00%	96.36%	OCL10	Good	100.00%	99.98%
GCF_015537035.1	KL14	Low	100.00%	96.36%	OCL10	Good	100.00%	99.98%
GCF_016056095.1	KL14	Low	100.00%	96.36%	OCL10	Very high	100.00%	99.98%
GCF_015537145.1	KL14	Low	100.00%	96.36%	OCL10	Good	100.00%	99.97%
GCF_015537825.1	KL22	Very high	100.00%	99.99%	OCL10	Good	100.00%	99.98%
GCF_015537245.1	KL14	None	100.00%	96.36%	OCL10	Good	100.00%	99.90%
GCF_015537405.1	KL14	Low	100.00%	96.36%	OCL10	Good	100.00%	99.90%
GCF_015538205.1	KL14	Low	100.00%	96.36%	OCL10	Good	100.00%	99.90%
GCF_009829595.1	KL14	Low	100.00%	96.36%	OCL6	Good	100.00%	100.00%
GCF_015537565.1	KL14	Low	100.00%	96.36%	OCL10	Good	100.00%	99.90%
GCF_015537525.1	KL14	Low	100.00%	96.36%	OCL10	Good	100.00%	99.97%
GCF_002573805.1	KL14	Good	99.82%	99.14%	OCL6	Very high	100.00%	99.51%
GCF_006492335.1	KL14	Very high	100.00%	99.15%	OCL6	Very high	100.00%	99.51%
GCF_900494975.1	KL116	Very high	100.00%	96.15%	OCL5	Very high	100.00%	99.71%
GCF_001007685.1	KL10	None	87.08%	94.53%	OCL7	Very high	100.00%	98.78%
GCF_002261535.1	KL27	None	91.57%	98.77%	OCL1	Good	99.34%	98.12%
GCF_003130905.1	KL83	Very high	100.00%	99.56%	OCL6	Very high	100.00%	99.53%
GCF_003130945.1	KL48	Very high	100.00%	95.62%	OCL6	Very high	100.00%	99.53%
GCF_006493975.1	KL52	Very high	100.00%	96.91%	OCL6	Very high	100.00%	99.53%
GCF_900496555.1	KL48	Very high	100.00%	96.77%	OCL5	Very high	100.00%	99.86%
GCF_009737735.1	KL48	Very high	100.00%	95.81%	OCL5	Very high	100.00%	99.88%
GCF_900495645.1	KL111	None	75.38%	93.69%	OCL6	Very high	100.00%	99.53%
GCF_008581385.1	KL14	High	100.00%	93.51%	OCL6	Very high	100.00%	99.98%
GCF_014159355.1	KL116	Very high	100.00%	96.91%	OCL6	Very high	100.00%	99.97%
GCF_900495025.1	KL60	Very high	100.00%	96.00%	OCL7	Very high	100.00%	99.93%
GCF_000453605.1	KL30	Very high	100.00%	96.53%	OCL6	Very high	100.00%	99.60%
GCF_003949335.1	KL30	Very high	100.00%	96.53%	OCL6	Very high	100.00%	99.60%
GCF_003231135.1	KL30	Low	100.00%	92.20%	OCL7	Good	100.00%	99.92%
GCF_000368205.1	KL48	Perfect	100.00%	100.00%	OCL6	Very high	100.00%	99.54%
GCF_003356025.1	KL14	Very high	100.00%	96.42%	OCL6	High	99.66%	99.60%
GCF_006367395.1	KL128	Very high	100.00%	97.55%	OCL6	Very high	100.00%	99.60%
GCF_014560325.1	KL10	None	91.36%	93.44%	OCL5	None	89.94%	99.96%
GCF_003569645.1	KL14	High	99.99%	94.74%	OCL6	Very high	100.00%	99.59%
GCF_016505985.1	KL14	High	99.99%	94.75%	OCL6	Very high	100.00%	99.60%
GCF_016654295.1	KL14	High	99.99%	94.75%	OCL6	Very high	100.00%	99.60%
GCF_016506005.1	KL37	Very high	100.00%	96.75%	OCL6	Very high	100.00%	99.60%
GCF_010587045.1	KL30	Low	100.00%	91.38%	OCL5	Good	80.26%	99.04%
GCF_010587125.1	KL30	Low	100.00%	91.38%	OCL5	Good	80.03%	99.04%
GCF_015538155.1	KL34	Good	99.73%	99.18%	OCL5	Very high	100.00%	99.86%
Aci28	KL22	Very high	100.00%	97.47%	OCL7	Good	100.00%	99.66%
Aci29	KL22	Very high	100.00%	97.49%	OCL1	Very high	100.00%	98.36%
GCF_002992565.1	KL10	Very high	100.00%	99.26%	OCL5	Good	98.41%	99.85%
GCF_002992645.1	KL10	Very high	100.00%	99.25%	OCL5	Good	96.52%	99.84%
GCF_003240555.1	KL10	Good	99.60%	99.25%	OCL5	Low	94.84%	99.83%
GCF_005819475.1	KL10	Good	98.81%	99.25%	OCL5	Low	92.22%	99.88%
GCF_900496485.1	KL43	Very high	100.00%	96.78%	OCL5	Good	98.41%	99.85%
GCF_005819315.1	KL10	Very high	100.00%	99.26%	OCL5	Good	98.41%	99.85%
GCF_005819365.1	KL10	Good	99.87%	99.26%	OCL5	Good	98.41%	99.85%
GCF_002212225.1	KL80	None	83.10%	92.59%	OCL5	None	71.28%	99.85%
GCF_000301255.1	KL10	None	90.78%	93.22%	OCL7	High	100.00%	98.77%
GCF_006492685.1	KL10	None	90.81%	93.22%	OCL7	High	100.00%	98.77%
GCF_000301235.1	KL10	None	90.78%	93.22%	OCL7	High	100.00%	98.77%
GCF_000583375.1	KL116	Very high	100.00%	95.89%	OCL6	Very high	100.00%	99.99%
GCF_014322245.1	KL10	None	87.01%	92.17%	OCL7	Very high	100.00%	99.70%
GCF_002573915.1	KL10	None	86.92%	94.79%	OCL7	Very high	100.00%	98.77%
GCF_002504145.1	KL14	Low	100.00%	92.28%	OCL6	Very high	100.00%	99.98%
GCF_003569625.1	KL14	Good	99.97%	93.51%	OCL6	Very high	100.00%	99.97%
GCF_008581605.1	KL119	Perfect	100.00%	100.00%	OCL5	Good	100.00%	99.86%
GCF_003948835.1	KL116	Very high	100.00%	96.15%	OCL6	Very high	100.00%	99.62%
GCF_000682435.1	KL14	Very high	100.00%	99.16%	OCL6	Very high	100.00%	99.88%
GCF_014874575.1	KL14	Very high	100.00%	99.16%	OCL6	Very high	100.00%	99.91%
GCF_006492615.1	KL14	Very high	100.00%	99.17%	OCL6	Very high	100.00%	99.91%
GCF_002137725.1	KL37	Very high	100.00%	98.82%	OCL6	Very high	100.00%	99.91%
GCF_009857695.1	KL14	Very high	100.00%	99.17%	OCL6	Very high	100.00%	99.91%
GCF_001517645.1	KL10	None	87.70%	94.15%	OCL7	Very high	100.00%	98.77%
GCF_001544395.1	KL10	None	87.60%	94.15%	OCL7	Very high	100.00%	98.77%
GCF_001457535.1	KL10	None	87.60%	94.15%	OCL7	Very high	100.00%	98.77%
GCF_000580595.1	KL93	None	88.82%	94.07%	OCL6	Very high	100.00%	99.91%
GCF_001414915.1	KL116	Very high	100.00%	97.08%	OCL6	Very high	100.00%	99.53%
GCF_002137265.1	KL14	Very high	100.00%	96.81%	OCL6	Very high	100.00%	99.54%
GCF_006492985.1	KL116	Very high	100.00%	97.11%	OCL6	Very high	100.00%	99.54%
GCF_003948725.1	KL128	Good	99.00%	95.62%	OCL6	Very high	100.00%	99.54%
GCF_001414685.1	KL30	Good	100.00%	92.39%	OCL5	Good	79.87%	99.71%
GCF_000301875.1	KL30	Very high	100.00%	95.34%	OCL6	Very high	100.00%	99.54%
GCF_003948235.1	KL30	Good	99.95%	95.34%	OCL6	Very high	100.00%	99.54%
GCF_000453465.1	KL26	Low	99.62%	93.42%	OCL6	Very high	100.00%	99.53%
GCF_002137255.1	KL116	Very high	100.00%	96.73%	OCL5	Good	100.00%	99.66%
GCF_008931365.1	KL89	Good	100.00%	95.76%	OCL5	High	100.00%	99.66%
GCF_016054925.1	KL14	Good	99.94%	93.34%	OCL6	Very high	100.00%	99.54%
GCF_003812065.1	KL30	None	85.65%	89.72%	OCL5	Very high	100.00%	99.88%
GCF_000309255.1	KL37	Very high	100.00%	96.26%	OCL5	Good	100.00%	99.89%
GCF_001415915.1	KL37	Good	97.61%	96.14%	OCL5	None	86.51%	99.92%
GCF_006493875.1	KL83	Very high	100.00%	98.61%	OCL5	Good	98.11%	99.89%
GCF_000368525.1	KL30	Perfect	100.00%	100.00%	OCL6	Very high	100.00%	99.54%
GCF_002145295.1	KL6	Very high	100.00%	96.10%	OCL5	Very high	100.00%	99.88%
GCF_000581775.1	KL85	None	85.60%	93.42%	OCL5	Good	100.00%	99.65%
GCF_002145395.1	KL30	None	86.02%	89.89%	OCL5	Good	100.00%	99.65%
GCF_000581855.1	KL125	None	89.86%	87.59%	OCL5	Good	100.00%	99.64%
GCF_001433155.1	KL32	None	88.37%	98.69%	OCL6	Very high	100.00%	99.55%
GCF_008581715.1	KL119	None	95.56%	91.48%	OCL2	Very high	100.00%	97.09%
GCF_008581785.1	KL14	Low	100.00%	92.99%	OCL7	Very high	100.00%	99.57%
GCF_008581485.1	KL30	Low	100.00%	92.19%	OCL4	Very high	100.00%	97.66%
GCF_014560095.1	KL10	Good	97.15%	94.42%	OCL5	Good	81.68%	99.28%
GCF_001077965.2	KL84	None	78.65%	83.55%	OCL6	Very high	100.00%	99.53%
GCF_014560195.1	KL14	Low	100.00%	94.91%	OCL2	Very high	100.00%	97.10%
GCF_003949235.1	KL116	Very high	100.00%	95.30%	OCL6	Very high	100.00%	99.53%
GCF_003940045.1	KL14	Very high	100.00%	97.21%	OCL5	Very high	100.00%	99.87%
GCF_900495545.1	KL14	High	99.99%	93.92%	OCL6	Very high	100.00%	99.53%
GCF_000805535.1	KL24	None	90.33%	85.25%	OCL7	Good	78.09%	92.76%
GCF_900495415.1	KL24	None	90.33%	85.25%	OCL7	Good	78.09%	92.76%
GCF_001862725.1	KL14	Low	100.00%	92.45%	OCL7	Good	77.58%	92.76%
GCF_006492945.1	KL14	Very high	100.00%	95.71%	OCL7	Good	77.97%	92.76%
GCF_012931605.1	KL48	Very high	100.00%	96.46%	OCL5	Very high	100.00%	99.86%
GCF_015694605.1	KL24	None	97.40%	89.95%	OCL7	Good	100.00%	99.66%
GCF_016654265.1	KL45	Good	100.00%	92.75%	OCL2	Very high	100.00%	97.02%
GCF_000581255.1	KL105	Perfect	100.00%	100.00%	OCL6	High	100.00%	89.89%
GCF_002142945.1	KL105	Very high	100.00%	100.00%	OCL6	High	100.00%	89.89%
GCF_001077555.2	KL84	High	100.00%	95.81%	OCL6	Very high	100.00%	99.60%
GCF_003812385.1	KL37	Very high	100.00%	96.32%	OCL6	Very high	100.00%	99.52%
GCF_014559975.1	KL48	Very high	100.00%	96.88%	OCL6	Very high	100.00%	99.53%
GCF_016506045.1	KL47	Very high	100.00%	98.48%	OCL5	Very high	100.00%	99.86%
GCF_002837945.2	KL81	Very high	100.00%	99.98%	OCL6	Very high	100.00%	99.52%
GCF_900495405.1	KL81	Low	94.40%	98.19%	OCL6	Very high	100.00%	99.52%
GCF_013787185.1	KL81	Very high	100.00%	99.98%	OCL6	Very high	100.00%	99.52%
GCF_000580615.1	KL124	Good	86.17%	99.03%	OCL5	Good	100.00%	99.99%
GCF_006492295.1	KL124	None	86.71%	91.46%	OCL5	Perfect	100.00%	100.00%
GCF_002137575.1	KL81	Good	100.00%	99.98%	OCL5	Good	100.00%	100.00%
GCF_003070945.1	KL44	Good	100.00%	98.57%	OCL6	Very high	100.00%	99.54%
GCF_000369345.1	KL9	Very high	100.00%	97.22%	OCL5	Very high	100.00%	99.98%
GCF_002137945.1	KL52	Very high	100.00%	96.71%	OCL6	Very high	100.00%	99.59%
GCF_001416115.1	KL32	None	90.78%	99.49%	OCL5	None	88.43%	99.90%
GCF_004194555.1	KL19	None	80.77%	91.57%	OCL6	High	100.00%	99.58%
GCF_000681575.1	KL32	Low	100.00%	99.57%	OCL5	Very high	100.00%	99.86%
GCF_900406665.1	KL2	Low	93.43%	98.07%	OCL2	Very high	100.00%	97.10%
GCF_900406655.1	KL108	Good	96.84%	97.94%	OCL2	Very high	100.00%	97.10%
GCF_003949125.1	KL30	None	85.65%	88.25%	OCL2	Very high	100.00%	97.10%
GCF_008802935.1	KL43	None	78.59%	85.39%	OCL2	Very high	100.00%	97.10%
GCF_000342085.1	KL43	None	70.16%	87.46%	OCL6	High	100.00%	99.58%
GCF_003070905.1	KL44	None	86.70%	95.68%	OCL6	Very high	100.00%	99.58%
GCF_003240535.1	KL52	None	85.83%	93.88%	OCL2	Good	97.52%	96.68%
GCF_016125625.1	KL52	Very high	100.00%	96.91%	OCL6	Very high	100.00%	99.59%
GCF_013416275.1	KL52	Very high	100.00%	96.91%	OCL6	Very high	100.00%	99.59%
GCF_016125715.1	KL52	Very high	100.00%	96.91%	OCL6	Very high	100.00%	99.59%
GCF_000372585.2	KL52	High	100.00%	96.88%	OCL5	Very high	100.00%	99.88%
GCF_003569425.1	KL52	Very high	100.00%	96.91%	OCL6	Very high	100.00%	99.60%
GCF_000580715.1	KL52	Very high	100.00%	96.91%	OCL3	Very high	100.00%	98.32%
GCF_002902885.1	KL84	None	77.59%	82.35%	OCL6	Very high	100.00%	99.60%
GCF_002143955.1	KL9	Very high	100.00%	97.22%	OCL5	Very high	100.00%	99.88%
GCF_006491955.1	KL57	Very high	100.00%	96.47%	OCL5	Good	97.97%	99.86%
GCF_000335615.1	KL23	Very high	100.00%	99.25%	OCL5	Very high	100.00%	99.88%
GCF_001432425.1	KL38	None	88.55%	88.32%	OCL5	Good	98.62%	99.89%
GCF_900495965.1	KL43	None	78.94%	85.39%	OCL6	Very high	100.00%	99.60%
GCF_003939585.1	KL93	None	89.88%	95.51%	OCL6	Very high	100.00%	99.52%
GCF_003939595.1	KL93	None	89.91%	95.51%	OCL6	Very high	100.00%	99.52%
GCF_000413915.1	KL81	Good	100.00%	99.99%	OCL12	Perfect	100.00%	100.00%
GCF_002143185.1	KL119	Perfect	100.00%	100.00%	OCL12	Very high	100.00%	99.99%
GCF_017349155.1	KL2	Very high	100.00%	97.82%	OCL6	Very high	100.00%	99.55%
GCF_015676585.1	KL25	None	85.67%	87.91%	OCL2	Very high	100.00%	97.09%
GCF_015676835.1	KL25	None	85.45%	87.91%	OCL2	Very high	100.00%	97.09%
GCF_015571935.1	KL25	None	85.74%	87.91%	OCL2	Very high	100.00%	97.09%
GCF_015676875.1	KL25	None	85.67%	87.91%	OCL2	Very high	100.00%	97.09%
GCF_004564095.1	KL54	Very high	100.00%	98.24%	OCL6	Very high	100.00%	99.60%
GCF_004564115.1	KL63	Very high	100.00%	100.00%	OCL6	Very high	100.00%	99.60%
GCF_003130915.1	KL9	Very high	100.00%	97.24%	OCL6	Very high	100.00%	99.60%
GCF_007833155.1	KL108	Good	96.93%	97.94%	OCL2	Very high	100.00%	97.10%
GCF_014560175.1	KL63	Good	100.00%	100.00%	OCL6	Very high	100.00%	99.60%
GCF_003131095.1	KL19	Good	99.18%	94.29%	OCL3	Very high	100.00%	98.54%
GCF_900495235.1	KL19	Good	99.10%	94.32%	OCL2	Very high	100.00%	97.10%
GCF_000835995.1	KL47	Very high	100.00%	99.36%	OCL6	Very high	100.00%	99.56%
GCF_000876055.1	KL47	Very high	100.00%	99.36%	OCL6	Very high	100.00%	99.56%
GCF_000760415.1	KL47	Very high	100.00%	99.36%	OCL6	Very high	100.00%	99.56%
GCF_000760395.1	KL47	Very high	100.00%	99.36%	OCL6	Very high	100.00%	99.56%
GCF_000775875.1	KL47	Very high	100.00%	99.36%	OCL6	Very high	100.00%	99.56%
GCF_000760455.1	KL47	Very high	100.00%	99.36%	OCL6	Very high	100.00%	99.56%
GCF_000722965.1	KL47	Very high	100.00%	99.24%	OCL6	Very high	100.00%	99.55%
GCF_000722975.1	KL47	Very high	100.00%	99.24%	OCL6	Very high	100.00%	99.55%
GCF_003130925.1	KL47	Very high	100.00%	99.24%	OCL6	Very high	100.00%	99.55%
GCF_003721135.1	KL47	Very high	100.00%	99.24%	OCL6	Very high	100.00%	99.55%
GCF_014560475.1	KL45	Very high	100.00%	99.09%	OCL6	Very high	100.00%	99.55%
GCF_000369245.1	KL47	Very high	100.00%	99.38%	OCL6	Very high	100.00%	99.56%
GCF_000787275.1	KL30	Low	100.00%	92.31%	OCL6	Very high	100.00%	99.56%
GCF_006493945.1	KL45	Very high	100.00%	99.84%	OCL6	Very high	100.00%	99.55%
GCF_006493005.1	KL84	None	87.72%	89.31%	OCL9	Very high	100.00%	99.94%
GCF_000805135.1	KL30	Low	100.00%	92.18%	OCL5	Very high	100.00%	99.88%
GCF_001721365.1	KL3	Perfect	100.00%	100.00%	OCL2	Very high	100.00%	96.64%
GCF_902728005.1	KL3	Perfect	100.00%	100.00%	OCL2	Very high	100.00%	96.64%
GCF_001721385.1	KL3	Perfect	100.00%	100.00%	OCL2	Very high	100.00%	96.64%
GCF_001721425.1	KL3	Perfect	100.00%	100.00%	OCL2	Very high	100.00%	96.64%
GCF_001077675.1	KL3	Perfect	100.00%	100.00%	OCL2	Very high	100.00%	96.64%
GCF_001721475.1	KL3	Perfect	100.00%	100.00%	OCL2	Very high	100.00%	96.64%
GCF_001721445.1	KL3	Perfect	100.00%	100.00%	OCL2	Very high	100.00%	96.64%
GCF_003948685.1	KL3	Perfect	100.00%	100.00%	OCL2	Very high	100.00%	96.64%
GCF_001721375.1	KL3	Perfect	100.00%	100.00%	OCL2	Very high	100.00%	96.64%
GCF_001721465.1	KL3	Perfect	100.00%	100.00%	OCL2	Very high	100.00%	96.64%
GCF_013416255.1	KL3	Very high	100.00%	98.54%	OCL2	Very high	100.00%	96.64%
GCF_900406775.1	KL3	Very high	100.00%	98.54%	OCL2	Very high	100.00%	96.64%
GCF_017168535.1	KL3	Very high	100.00%	98.54%	OCL2	Very high	100.00%	96.64%
GCF_008630895.1	KL3	Perfect	100.00%	100.00%	OCL2	Very high	100.00%	96.64%
GCF_001941765.1	KL3	Perfect	100.00%	100.00%	OCL2	Very high	100.00%	96.64%
GCF_001593425.2	KL3	Perfect	100.00%	100.00%	OCL2	Very high	100.00%	96.64%
GCF_004794235.2	KL3	Perfect	100.00%	100.00%	OCL2	Very high	100.00%	96.64%
GCF_004797155.2	KL3	Perfect	100.00%	100.00%	OCL2	Very high	100.00%	96.64%
GCF_004794275.2	KL3	Perfect	100.00%	100.00%	OCL2	Very high	100.00%	96.64%
GCF_013372085.1	KL3	Perfect	100.00%	100.00%	OCL2	Very high	100.00%	96.64%
GCF_014672775.1	KL3	High	100.00%	100.00%	OCL2	High	100.00%	96.63%
GCF_001721455.1	KL3	Perfect	100.00%	100.00%	OCL2	Very high	100.00%	96.64%
GCF_016125655.1	KL3	Very high	100.00%	98.54%	OCL2	Very high	100.00%	96.64%
GCF_900495355.1	KL3	Very high	100.00%	98.51%	OCL2	Very high	100.00%	96.64%
GCF_016125615.1	KL3	Very high	100.00%	98.54%	OCL2	Very high	100.00%	96.64%
GCF_017726575.1	KL9	Very high	100.00%	98.92%	OCL2	Very high	100.00%	96.63%
GCF_900444745.1	KL9	High	100.00%	98.91%	OCL2	Very high	100.00%	96.63%
GCF_009754985.1	KL9	Very high	100.00%	98.92%	OCL2	Very high	100.00%	96.64%
GCF_900496465.1	KL49	Very high	100.00%	99.98%	OCL2	Very high	100.00%	96.64%
GCF_900496615.1	KL49	Very high	100.00%	99.98%	OCL2	Very high	100.00%	96.64%
GCF_900496415.1	KL49	Very high	100.00%	99.98%	OCL2	Very high	100.00%	96.64%
GCF_002928145.1	KL23	Very high	100.00%	99.24%	OCL2	Very high	100.00%	99.98%
GCF_017349275.1	KL33	Very high	100.00%	98.75%	OCL2	Very high	100.00%	99.94%
